,feature,importance
94,acc_f-BandsEnergyOld-5,0.033747126436781606
58,acc_f-STD-3,0.033011494252873565
81,acc_f-MeanFreq-1,0.026758620689655174
38,acc_t-Correlation-2,0.02445977011494253
136,acc_f-Min-mag,0.024
66,acc_f-Min-2,0.023632183908045976
1,acc_t-Mean-2,0.020873563218390803
65,acc_f-Min-1,0.020505747126436782
0,acc_t-Mean-1,0.020413793103448277
119,acc_f-BandsEnergyOld-30,0.01747126436781609
123,acc_f-BandsEnergyOld-34,0.017195402298850575
15,acc_t-SMA-1,0.01645977011494253
2,acc_t-Mean-3,0.015540229885057471
93,acc_f-BandsEnergyOld-4,0.015448275862068966
57,acc_f-STD-2,0.015172413793103448
37,acc_t-Correlation-1,0.014252873563218391
74,acc_f-IQR-3,0.013701149425287357
44,acc_t-Min-mag,0.013333333333333334
109,acc_f-BandsEnergyOld-20,0.013149425287356322
100,acc_f-BandsEnergyOld-11,0.013149425287356322
67,acc_f-Min-3,0.012873563218390805
14,acc_t-Min-3,0.012689655172413793
71,acc_f-Energy-3,0.012505747126436782
39,acc_t-Correlation-3,0.012229885057471265
95,acc_f-BandsEnergyOld-6,0.012229885057471265
19,acc_t-IQR-1,0.011954022988505748
105,acc_f-BandsEnergyOld-16,0.011494252873563218
73,acc_f-IQR-2,0.011218390804597701
72,acc_f-IQR-1,0.011218390804597701
126,acc_f-BandsEnergyOld-37,0.011126436781609196
90,acc_f-BandsEnergyOld-1,0.011034482758620689
103,acc_f-BandsEnergyOld-14,0.010942528735632184
121,acc_f-BandsEnergyOld-32,0.010942528735632184
18,acc_t-Energy-3,0.010850574712643678
97,acc_f-BandsEnergyOld-8,0.010666666666666666
62,acc_f-Max-1,0.010482758620689656
111,acc_f-BandsEnergyOld-22,0.010482758620689656
11,acc_t-Max-3,0.009839080459770114
12,acc_t-Min-1,0.009655172413793104
96,acc_f-BandsEnergyOld-7,0.009471264367816092
124,acc_f-BandsEnergyOld-35,0.009379310344827587
85,acc_f-Skewness-2,0.00910344827586207
64,acc_f-Max-3,0.008827586206896552
122,acc_f-BandsEnergyOld-33,0.00864367816091954
132,acc_f-Mean-mag,0.008367816091954023
59,acc_f-Mad-1,0.008275862068965517
128,acc_f-BandsEnergyOld-39,0.008
22,acc_t-ropy-1,0.007816091954022988
118,acc_f-BandsEnergyOld-29,0.007816091954022988
8,acc_t-Mad-3,0.007816091954022988
130,acc_f-BandsEnergyOld-41,0.007632183908045977
17,acc_t-Energy-2,0.007540229885057472
84,acc_f-Skewness-1,0.007540229885057472
43,acc_t-Max-mag,0.0074482758620689656
61,acc_f-Mad-3,0.007264367816091954
110,acc_f-BandsEnergyOld-21,0.007172413793103448
68,acc_f-SMA-1,0.006896551724137931
125,acc_f-BandsEnergyOld-36,0.006896551724137931
10,acc_t-Max-2,0.006804597701149425
92,acc_f-BandsEnergyOld-3,0.00671264367816092
9,acc_t-Max-1,0.00671264367816092
107,acc_f-BandsEnergyOld-18,0.00671264367816092
99,acc_f-BandsEnergyOld-10,0.006620689655172414
87,acc_f-Kurtosis-1,0.006620689655172414
91,acc_f-BandsEnergyOld-2,0.0065287356321839084
42,acc_t-Mad-mag,0.0065287356321839084
101,acc_f-BandsEnergyOld-12,0.006344827586206896
6,acc_t-Mad-1,0.006068965517241379
56,acc_f-STD-1,0.006068965517241379
60,acc_f-Mad-2,0.0057011494252873565
108,acc_f-BandsEnergyOld-19,0.0057011494252873565
54,acc_f-Mean-2,0.0056091954022988505
134,acc_f-Mad-mag,0.005425287356321839
129,acc_f-BandsEnergyOld-40,0.005425287356321839
113,acc_f-BandsEnergyOld-24,0.005425287356321839
40,acc_t-Mean-mag,0.005333333333333333
3,acc_t-STD-1,0.004965517241379311
114,acc_f-BandsEnergyOld-25,0.004965517241379311
117,acc_f-BandsEnergyOld-28,0.0047816091954022985
82,acc_f-MeanFreq-2,0.0047816091954022985
70,acc_f-Energy-2,0.0047816091954022985
4,acc_t-STD-2,0.004597701149425287
47,acc_t-IQR-mag,0.004597701149425287
63,acc_f-Max-2,0.004597701149425287
